Length_along_cut,|E|^2
3.81147,0.00230948
3.82401,0.00405943
3.83655,0.00637252
3.84909,0.00886619
3.86162,0.0115665
3.87416,0.0143343
3.8867,0.0170267
3.89924,0.0197007
3.91178,0.0220729
3.92431,0.024361
3.93685,0.0261821
3.94939,0.0278721
3.96193,0.0290328
3.97446,0.0300482
3.987,0.030557
3.99954,0.0309291
4.01208,0.0307886
4.02462,0.0305133
4.03715,0.0298192
4.04969,0.0290165
4.06223,0.0278699
4.07477,0.0266351
4.0873,0.0251423
4.09984,0.0235836
4.11238,0.0218659
4.12492,0.0201068
4.13746,0.0182915
4.14999,0.0164587
4.16253,0.0146673
4.17507,0.0128803
4.18761,0.0112186
4.20014,0.00957941
4.21268,0.00812964
4.22522,0.00671538
4.23776,0.00553
4.25029,0.00438773
4.26283,0.00348709
4.27537,0.00263168
4.28791,0.00200489
4.30045,0.0014205
4.31298,0.0010302
4.32552,0.000675589
4.33806,0.000466101
4.3506,0.000283215
4.36313,0.000192607
4.37567,0.000119255
4.38821,9.51624e-05
4.40075,8.07787e-05
4.41329,8.53781e-05
4.42582,9.43014e-05
4.43836,0.000105137
4.4509,0.000117138
4.46344,0.000124322
4.47597,0.000131234
4.48851,0.00013265
4.50105,0.000133379
4.51359,0.000130474
4.52613,0.000126943
4.53866,0.000122254
4.5512,0.000117179
4.56374,0.000113101
4.57628,0.000108904
4.58881,0.000107292
4.60135,0.000105793
4.61389,0.000108074
4.62643,0.000110646
4.63896,0.000118228
4.6515,0.000126243
4.66404,0.000140792
4.67658,0.000155878
4.68912,0.000179342
4.70165,0.000203392
4.71419,0.000237575
4.72673,0.000271927
4.73927,0.000316978
4.7518,0.000362001
4.76434,0.000416705
4.77688,0.000471115
4.78942,0.000531423
4.80196,0.000591073
4.81449,0.000649775
4.82703,0.000707417
4.83957,0.000755188
4.85211,0.000801613
4.86464,0.000829937
4.87718,0.000856891
4.88972,0.00086066
4.90226,0.000863342
4.9148,0.00084254
4.92733,0.000821128
4.93987,0.000778559
4.95241,0.000735879
4.96495,0.000676045
4.97748,0.000616544
4.99002,0.00054593
5.00256,0.000475989
